Titik,Latitude,Longitude,Total_Pend_Motor_Tahun,Total_Pend_Mobil_Tahun,Klasifikasi_Motor,Tarif_Dasar_Motor,Klasifikasi_Mobil,Tarif_Dasar_Mobil
Indomaret,-7.423386883561782,109.24269341721606,2.0,2.0,Sedang,2000,Sedang,4000
Toko Satria,-7.42741,109.24381,143904131.0,10848074.0,Sedang,2000,Sedang,4000
Toko Mlati,-7.42725,109.24364,194592155.0,17664112.0,Tinggi,3000,Tinggi,5000
Toko Pagoda,-7.42717,109.24364,218112256.0,19488116.0,Tinggi,3000,Tinggi,5000
Matahari Bazzar,-7.42921,109.23951,292416334.0,30048208.0,Tinggi,3000,Tinggi,5000
Toko Bata,-7.42518,109.24366,308736384.0,0.0,Tinggi,3000,Rendah,3000
Kebondalam/Rita Pa,-7.42522,109.24385,327264313.0,0.0,Tinggi,3000,Rendah,3000
Gerai Indosat,-7.42473,109.24364,103056089.0,7584046.0,Sedang,2000,Rendah,3000
Toko Cinderela,-7.42478,109.24361,73824073.0,6720040.0,Rendah,1000,Rendah,3000
Toko Daerah,-7.42458,109.24358,71376066.0,21600202.0,Rendah,1000,Tinggi,5000
Toko Listrik Kebondalem,-7.42449,109.24374,29664045.0,24096146.0,Rendah,1000,Tinggi,5000
BCL-Toko Lampu,-7.42394,109.24372,433728438.0,47904334.0,Tinggi,3000,Tinggi,5000
Matahari Store,-7.42471,109.2432,823008701.0,46560266.0,Tinggi,3000,Tinggi,5000
Deretan Eka Surya,-7.42469,109.24291,101376072.0,139296884.0,Sedang,2000,Tinggi,5000
Toko Brasil,-7.42647,109.24359,50784049.0,11616076.0,Rendah,1000,Sedang,4000
Apotek Medika,-7.42688,109.24365,70080058.0,13056070.0,Rendah,1000,Sedang,4000
Virgo Salon,-7.43047,109.24367,82752046.0,9408062.0,Rendah,1000,Rendah,3000
Sukses Motor,-7.42388,109.2438,327456219.0,37824208.0,Tinggi,3000,Tinggi,5000
PMI,-7.4237,109.23917,287328209.0,13056070.0,Tinggi,3000,Sedang,4000
Mie Ayam Pajak,-7.42287,109.2408,76752080.0,9216060.0,Rendah,1000,Rendah,3000
Java Ateka,-7.42333,109.2426,339360343.0,16800082.0,Tinggi,3000,Tinggi,5000
Oramen,-7.4243,109.2421,258336219.0,28896178.0,Tinggi,3000,Tinggi,5000
Balai Paras,-7.4235,109.2415,150720154.0,7392044.0,Sedang,2000,Rendah,3000
RM Ampera,-7.42505,109.2406,64032043.0,3360060.0,Rendah,1000,Rendah,3000
Els Komputer,-7.42626,109.2404,96960074.0,17856066.0,Rendah,1000,Tinggi,5000
Bakso Kenthut,-7.42331,109.2385,200448168.0,2400008.0,Tinggi,3000,Rendah,3000
Area Afra,-7.42836,109.24857,83232075.0,13488106.0,Rendah,1000,Tinggi,5000
Mahkota Putra,-7.42886,109.24858,269856171.0,24864154.0,Tinggi,3000,Tinggi,5000
famart (deket telko,-7.43472,109.24868,150432127.0,5568034.0,Sedang,2000,Rendah,3000
Sami Asih 2,-7.43147,109.24859,123168107.0,27072174.0,Sedang,2000,Tinggi,5000
Area Metro,-7.42859,109.24887,140544120.0,9888070.0,Sedang,2000,Sedang,4000
Kaliandra,-7.42933,109.2486,91584042.0,24672146.0,Rendah,1000,Tinggi,5000
Batik Mahkota,-7.42928,109.2486,101232087.0,26016182.0,Sedang,2000,Tinggi,5000
Pegadaian,-7.42952,109.24881,97728082.0,5184036.0,Rendah,1000,Rendah,3000
Central Plastik,-7.42833,109.24885,88128072.0,3744038.0,Rendah,1000,Rendah,3000
Toko Ibu,-7.42904,109.24888,83232068.0,12576094.0,Rendah,1000,Sedang,4000
Sami Asih 1,-7.4295,109.24624,159072145.0,34656208.0,Sedang,2000,Tinggi,5000
Eka Surya,-7.42957,109.2481,206304181.0,27936123.0,Tinggi,3000,Tinggi,5000
Rocket Chicken,-7.42932,109.24434,205536173.0,30144176.0,Tinggi,3000,Tinggi,5000
Abata,-7.42906,109.24331,230208190.0,59040096.0,Tinggi,3000,Sedang,4000
Bakmi Situmpur,-7.42905,109.24409,79872064.0,16416102.0,Rendah,1000,Tinggi,5000
TB Gerilya,-7.44256,109.23204,117312094.0,2496020.0,Sedang,2000,Rendah,3000
Indomaret Gerilya,-7.44153,109.23719,194976135.0,21024132.0,Tinggi,3000,Tinggi,5000
BRI Gerilya,-7.442,109.23651,165600069.0,10560044.0,Sedang,2000,Sedang,4000
RM Lik Chip,-7.43935,109.24485,174432161.0,33984222.0,Sedang,2000,Tinggi,5000
Unyil Andang,-7.43992,109.24454,176256156.0,33312200.0,Sedang,2000,Tinggi,5000
Lamongan Cak Arul,-7.44053,109.24077,139968114.0,28896160.0,Sedang,2000,Tinggi,5000
Adi Permana,-7.43798,109.24403,96384044.0,14688066.0,Rendah,1000,Tinggi,5000
